School_Name,City,State,Population 2020 Census,Median salary for HS graduate (equivalency) US Career Institute,Median Household Income Census,BachPlus Census,EmployRate Census,Median Individual Income by State (2022),Percentage with 4 year education or higher,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate,Total_Cost,ROI,Column1
University of California-Berkeley,Berkeley,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,12.0,0.1444,635,624,31811.0,14226.0,43980.0,0.9281,0.7897,1,1118.0,20236.0,5893.0,16377.0,6199.0,79000.0,20.0,80202.0,98670.0,0.37,18770.0,31227.0,77601.85,0.1481,21463.0,21095.0,0.9614,171713.0,0.460070001,1.840280002
New Mexico Institute of Mining and Technology,Socorro,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33.0,0.9672,660,660,1201.0,8425.0,24254.0,0.5526,0.3063,1,800.0,8518.0,3450.0,8518.0,3450.0,58500.0,10.0,53475.0,65006.0,0.25,9083.0,39182.0,52104.89,0.4532,11883.0,6489.0,0.7826,132765.0,0.440628178,1.76251271
University of California-Los Angeles,Los Angeles,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.1077,635,624,32122.0,13258.0,43012.0,0.9213,0.826,1,1405.0,16763.0,4871.0,15950.0,5560.0,73200.0,18.0,74996.0,87902.0,0.32,19498.0,32613.5,72896.84,0.1224,60528.0,18698.0,0.963,166537.0,0.439541964,1.758167855
University of California-San Diego,La Jolla,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.342,635,624,33339.0,14700.0,44454.0,0.8935,0.7302,1,1152.0,16145.0,4163.0,14383.0,4881.0,69600.0,19.0,75009.0,90831.0,0.36,16913.0,35914.0,76397.62,0.246,22086.0,18651.0,0.946,166400.0,0.418269231,1.673076923
South Dakota School of Mines and Technology,Rapid City,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,13.0,0.8048,665,690,1976.0,12110.0,16530.0,0.5231,0.2404,1,2060.0,8140.0,4400.0,10760.0,4400.0,62400.0,11.0,59222.0,75625.0,0.25,9844.0,76508.0,52423.4,0.4688,11960.0,8714.0,0.7437,154294.0,0.404422725,1.617690902
University of Utah,Salt Lake City,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,12.0,0.9497,690,700,24850.0,8893.0,28345.0,0.672,0.3587,1,1036.0,10662.0,3672.0,12978.0,3672.0,63500.0,18.0,49195.0,77191.0,0.21,11146.0,38625.0,69474.52,0.2371,16497.0,12602.0,0.8761,159883.0,0.397165427,1.588661709
Oregon Institute of Technology,Klamath Falls,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,33.0,0.9062,650,650,3257.0,11622.0,32515.0,0.5556,0.2809,1,1225.0,10214.0,3568.0,12040.0,3568.0,57800.0,15.0,58593.0,80269.0,0.2,8499.0,36182.0,52974.7,0.2949,9605.0,9092.0,0.7164,153369.0,0.376868859,1.507475435
Oregon State University,Corvallis,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,13.0,0.8921,680,690,27038.0,12188.0,31579.0,0.6818,0.4059,1,600.0,13860.0,2754.0,13860.0,2745.0,56700.0,18.0,52655.0,69532.0,0.19,10714.0,44450.0,60312.67,0.3305,11183.0,12585.0,0.8567,156142.0,0.363130996,1.452523985
University of Nevada-Reno,Reno,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,11.0,0.8816,640,630,16274.0,8588.0,24680.0,0.6268,0.3979,1,1200.0,12216.0,4792.0,12216.0,4792.0,56300.0,17.0,54508.0,67144.0,0.19,10322.0,48103.0,68050.29,0.2884,12091.0,8227.0,0.7949,158088.0,0.356130763,1.42452305
University of Colorado Boulder,Boulder,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12.0,0.7958,690,700,30414.0,12496.0,38314.0,0.7404,0.5306,1,1200.0,15676.0,2979.0,13050.0,2979.0,59700.0,18.0,60294.0,71679.0,0.27,12044.0,70221.0,81327.65,0.2472,18097.0,20776.0,0.8611,172923.0,0.345240367,1.380961468
Montana State University,Bozeman,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33.0,0.73,650,650,14329.0,7528.0,28264.0,0.5452,0.3105,1,1450.0,10400.0,3908.0,10400.0,3908.0,48900.0,18.0,45110.0,58763.0,0.2,8598.0,56045.0,53207.14,0.3393,8484.0,11707.0,0.7687,142782.0,0.342480145,1.369920578
California State University-Long Beach,Long Beach,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.4685,635,624,33765.0,6846.0,18726.0,0.7547,0.3424,1,1070.0,13938.0,3134.0,13358.0,3638.0,53000.0,23.0,58408.0,65972.0,0.21,10297.0,26465.0,66954.9,0.2307,7483.0,4712.0,0.8812,155228.0,0.341433247,1.365732986
University of North Dakota,Grand Forks,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,13.0,0.8903,630,660,8998.0,10596.0,15037.0,0.6178,0.3983,1,800.0,9922.0,3446.0,9922.0,3446.0,57800.0,17.0,53433.0,71034.0,0.24,9136.0,78651.0,56722.24,0.4511,17790.0,15459.0,0.7906,171640.0,0.33675134,1.34700536
South Dakota State University,Brookings,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,33.0,0.8743,600,620,8651.0,9299.0,12809.0,0.5955,0.4152,1,1200.0,8054.0,4063.0,9025.0,4780.0,50200.0,17.0,47108.0,58219.0,0.21,8860.0,73000.0,53049.11,0.4901,8746.0,8708.0,0.8043,150200.0,0.334221039,1.336884154
University of California-Riverside,Riverside,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.6538,635,624,22817.0,13754.0,43508.0,0.7645,0.6131,1,1536.0,16864.0,4306.0,12010.0,5012.0,55300.0,24.0,60523.0,67802.0,0.24,14807.0,35809.0,68292.12,0.3373,14457.0,12175.0,0.8955,166700.0,0.331733653,1.326934613
University of Wyoming,Laramie,WY,576851,35417,70042,0.296,0.625,37413,0.296,3,33.0,0.9678,635,624,8700.0,6277.0,20827.0,0.6023,0.3702,1,1200.0,11144.0,3184.0,11144.0,3184.0,54200.0,14.0,47755.0,60998.0,0.18,9830.0,54733.5,56061.18,0.2726,16662.0,6490.0,0.7812,163473.0,0.331553223,1.326212891
Portland State University,Portland,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,11.0,0.9843,640,610,15674.0,10386.0,29286.0,0.5381,0.2881,1,1200.0,13500.0,3210.0,13500.0,3210.0,50800.0,19.0,51038.0,59725.0,0.12,10304.0,25986.0,62889.32,0.3637,9642.0,10003.0,0.7556,155036.0,0.327665832,1.31066333
California State University-Fullerton,Fullerton,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,21.0,0.5943,635,624,35502.0,6976.0,18856.0,0.7147,0.2897,1,1203.0,16703.0,3133.0,17100.0,5003.0,51800.0,25.0,55014.0,64051.0,0.21,10353.0,28124.0,73036.4,0.1913,6668.0,5270.0,0.8783,158255.0,0.327319832,1.309279328
University of South Dakota,Vermillion,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,32.0,0.8701,640,650,5328.0,9432.0,12942.0,0.601,0.4277,1,1200.0,8600.0,4625.0,9013.0,6012.0,49500.0,14.0,46244.0,55575.0,0.15,8332.0,64843.5,53799.09,0.4677,10574.0,8289.0,0.791,151441.0,0.326859965,1.307439861
Utah Valley University,Orem,UT,3271616,33905,89168,0.379,0.678,37332,0.379,2,13.0,1.0,635,624,27489.0,6010.0,17092.0,0.3779,0.1479,1,588.0,8810.5,4401.0,9018.0,3664.0,50700.0,25.0,32486.0,69429.0,0.19,8644.0,31983.0,65815.47,0.1128,5682.0,5397.0,0.6654,155429.5,0.326192904,1.304771617
North Dakota State University-Main Campus,Fargo,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,12.0,0.9546,640,673,9932.0,10601.0,15076.0,0.6487,0.4122,1,800.0,9078.0,3400.0,9078.0,3400.0,55500.0,18.0,51542.0,66926.0,0.29,9434.0,80195.0,55831.54,0.5172,10490.0,10452.0,0.7901,170755.0,0.325027086,1.300108342
California State University-Northridge,Northridge,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.881,635,624,34436.0,7043.0,18923.0,0.542,0.1655,1,1486.0,11502.0,3132.0,18962.0,4366.0,49700.0,26.0,53426.0,60910.0,0.16,10127.0,22839.0,64055.44,0.2136,6440.0,4251.0,0.8274,153403.0,0.323983234,1.295932935
Washington State University,Pullman,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,32.0,0.8577,635,624,23966.0,12417.0,27733.0,0.5955,0.3734,1,960.0,11848.0,3542.0,11848.0,3542.0,56600.0,15.0,59446.0,72473.0,0.2,10401.0,44850.0,63710.0,0.3237,9617.0,10674.0,0.807,175575.0,0.322369358,1.289477431
University of Idaho,Moscow,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,32.0,0.8138,620,600,6861.0,8340.0,27576.0,0.5925,0.383,1,1232.0,9610.0,3072.0,9610.0,3072.0,47000.0,16.0,45537.0,58028.0,0.16,9870.0,45018.0,54125.14,0.3624,11230.0,10423.0,0.7568,146282.0,0.32129722,1.285188882
Weber State University,Ogden,UT,3271616,33905,89168,0.379,0.678,37332,0.379,2,13.0,1.0,635,624,15944.0,6228.0,16644.0,0.4058,0.1539,1,1400.0,9004.0,5060.0,7380.0,5060.0,49900.0,21.0,41753.0,70962.0,0.19,8590.0,35841.0,66371.04,0.1286,6076.0,4497.0,0.657,157312.0,0.317204028,1.268816111
Colorado State University-Fort Collins,Fort Collins,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12.0,0.8964,650,640,24344.0,12331.0,31613.0,0.6912,0.4671,1,1200.0,13016.0,1799.0,11844.0,1799.0,53400.0,17.0,50739.0,66888.0,0.22,10534.0,63463.5,73818.06,0.3386,14690.0,15851.0,0.8528,168918.0,0.31612972,1.264518879
Utah State University,Logan,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,13.0,0.9263,660,650,20516.0,8960.0,24080.0,0.5578,0.2936,1,836.0,8076.0,4072.0,8300.0,4072.0,49600.0,21.0,34479.0,70498.0,0.23,9658.0,42950.5,60534.36,0.2221,10909.0,6662.0,0.7347,157564.0,0.314792719,1.259170877
University of Nevada-Las Vegas,Las Vegas,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,12.0,0.8348,635,624,24835.0,8737.0,24828.0,0.4715,0.1938,1,1240.0,11512.0,4926.0,11430.0,6596.0,49600.0,18.0,49969.0,59220.0,0.14,10839.0,34261.0,70070.97,0.2714,12269.0,7479.0,0.786,157707.0,0.314507282,1.25802913
University of Arizona,Tucson,AZ,7151502,37365,74568,0.33,0.577,37209,0.33,3,11.0,0.8727,680,690,36560.0,12736.0,37258.0,0.6434,0.4979,1,900.0,13450.0,3600.0,10900.0,5600.0,56000.0,17.0,52823.0,69611.0,0.18,11400.0,43043.0,64708.31,0.2882,12902.0,14180.0,0.8479,180146.0,0.31085897,1.24343588
The University of Montana,Missoula,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,13.0,0.8214,660,620,7026.0,7432.0,28416.0,0.4772,0.3259,1,1100.0,11054.0,3450.0,11054.0,4150.0,43300.0,15.0,40221.0,48175.0,0.12,8380.0,36050.0,50573.68,0.4407,10682.0,9731.0,0.7484,142532.0,0.303791429,1.215165717
University of Hawaii at Manoa,Honolulu,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,11.0,0.6998,660,630,13839.0,12186.0,34218.0,0.5891,0.3666,1,1350.0,13642.0,2742.0,13642.0,2742.0,51800.0,14.0,51684.0,61333.0,0.19,12905.0,40609.0,71646.27,0.2907,22581.0,11441.0,0.7987,171164.0,0.302633731,1.210534926
Idaho State University,Pocatello,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,13.0,1.0,635,624,6842.0,7872.0,25326.0,0.3909,0.1959,1,1000.0,7340.0,5930.0,8370.0,5930.0,43900.0,13.0,36449.0,56371.0,0.12,7968.0,35747.5,52463.75,0.3126,12445.0,8519.0,0.64,146170.0,0.300335226,1.201340904
Montana State University-Northern,Havre,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33.0,1.0,635,624,838.0,5955.0,18665.0,0.3134,0.2375,1,1400.0,6470.0,3200.0,7700.0,3200.0,40400.0,14.0,36369.0,52396.0,0.13,6108.0,35266.0,43741.63,0.3785,9960.0,7921.0,0.6971,136521.0,0.295925169,1.183700676
University of Colorado Colorado Springs,Colorado Springs,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,11.0,0.9527,635,624,9634.0,8766.0,21222.0,0.4414,0.2312,1,1800.0,10920.0,4660.0,11080.0,4660.0,49300.0,16.0,46372.0,60355.0,0.17,8428.0,42591.0,70639.18,0.3481,9798.0,9307.0,0.6904,166718.0,0.295708922,1.182835687
Western Washington University,Bellingham,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,13.0,0.961,670,640,13933.0,8703.0,25930.0,0.677,0.429,1,1011.0,13080.0,3840.0,13080.0,3840.0,50600.0,17.0,54409.0,66828.0,0.24,10753.0,51312.0,66707.46,0.288,11628.0,7758.0,0.7981,173442.0,0.291740178,1.166960713
Eastern Oregon University,La Grande,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,33.0,0.9768,635,624,2397.0,9696.0,22386.0,0.3819,0.2686,1,1260.0,10455.0,3258.0,10455.0,3258.0,44100.0,15.0,44739.0,52366.0,0.09,7819.0,32240.0,52895.14,0.4207,7354.0,8637.0,0.6734,151409.0,0.29126406,1.165056238
Southern Utah University,Cedar City,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,33.0,0.8873,640,600,9297.0,6726.0,20542.0,0.5472,0.2942,1,1600.0,7500.0,4800.0,7500.0,4800.0,45500.0,23.0,33835.0,66041.0,0.21,7545.0,41064.0,55546.63,0.526,6611.0,7323.0,0.7294,156246.0,0.291207455,1.16482982
Northern Arizona University,Flagstaff,AZ,7151502,31185,74568,0.33,0.577,37209,0.33,3,13.0,0.7835,635,624,23772.0,11896.0,26642.0,0.59,0.4514,1,900.0,11338.0,4720.0,10914.0,4720.0,44600.0,21.0,46837.0,57390.0,0.15,8903.0,41212.0,59985.62,0.3447,6139.0,7464.0,0.7538,153594.0,0.290375926,1.161503705
Central Washington University,Ellensburg,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,32.0,0.8845,635,624,9508.0,8685.0,25213.0,0.5363,0.3232,1,900.0,13938.0,2922.0,9741.0,2922.0,50100.0,15.0,52966.0,67299.0,0.16,8941.0,42459.0,63170.67,0.3793,9174.0,7032.0,0.6963,173253.0,0.289172482,1.156689927
Western Oregon University,Monmouth,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,31.0,0.9157,635,624,3524.0,10269.0,29709.0,0.4834,0.2748,1,1200.0,10803.0,2460.0,10146.0,2460.0,43400.0,12.0,46144.0,55751.0,0.12,6984.0,41710.0,59410.15,0.7641,9312.0,7589.0,0.6817,151472.0,0.286521601,1.146086405
Dakota State University,Madison,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,32.0,0.8561,635,610,1910.0,9633.0,12735.0,0.4675,0.2844,1,1200.0,7148.0,4874.0,7433.0,5807.0,43100.0,18.0,40568.0,53359.0,0.13,8564.0,50856.5,52093.19,0.4058,8651.0,7800.0,0.7175,150439.0,0.286494858,1.145979434
New Mexico Highlands University,Las Vegas,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33.0,1.0,635,624,1451.0,6876.0,11532.0,0.2651,0.1779,1,1144.0,8908.0,3968.0,10352.0,3968.0,37800.0,11.0,40503.0,41989.0,0.07,6302.0,24029.0,44721.61,0.54,10714.0,7064.0,0.5909,132468.0,0.285351934,1.141407736
Boise State University,Boise,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,12.0,0.8313,635,624,17075.0,8060.0,24980.0,0.5362,0.3067,1,1240.0,13459.0,4336.0,10423.0,4714.0,43100.0,20.0,41686.0,54019.0,0.15,8627.0,42915.0,58298.66,0.305,7859.0,9383.0,0.7694,151123.0,0.28519815,1.140792599
University of Alaska Anchorage,Anchorage,AK,733391,37365,88121,0.306,0.599,40985,0.306,3,11.0,0.6905,635,624,7284.0,8622.0,25228.0,0.3047,0.1516,1,1320.0,12662.0,8276.0,9868.0,9763.0,51200.0,12.0,45312.0,56895.0,0.15,9370.0,33525.0,72116.59,0.1708,13122.0,8106.0,0.684,180340.0,0.283908173,1.135632694
Minot State University,Minot,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,33.0,0.8838,600,600,2248.0,8164.0,8164.0,0.465,0.2675,1,1100.0,6892.0,3650.0,6892.0,3650.0,46900.0,11.0,42504.0,56315.0,0.2,7348.0,51786.5,47057.03,0.3863,7994.0,6602.0,0.7212,166682.0,0.281374114,1.125496454
Southern Oregon University,Ashland,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,22.0,0.897,630,600,3208.0,11142.0,28962.0,0.4103,0.2833,1,999.0,15066.0,1500.0,11501.0,1500.0,43400.0,20.0,44888.0,50409.0,0.11,9106.0,32578.0,54749.32,0.327,8758.0,8027.0,0.6851,155447.0,0.279194838,1.116779352
Montana State University Billings,Billings,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,12.0,1.0,635,624,2818.0,6022.0,19352.0,0.2813,0.1355,1,1540.0,7956.0,4740.0,7956.0,4740.0,38700.0,15.0,36082.0,52391.0,0.13,6706.0,34882.5,48720.57,0.3515,6914.0,5650.0,0.5759,139754.0,0.276915151,1.107660604
Eastern Washington University,Cheney,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,31.0,0.9707,635,624,7589.0,7922.0,25748.0,0.4962,0.2649,1,942.0,13060.0,3132.0,10500.0,3525.0,46700.0,20.0,51339.0,60398.0,0.16,9399.0,38218.5,56952.77,0.6182,7844.0,7398.0,0.6906,171864.0,0.271726481,1.086905926
Black Hills State University,Spearfish,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,32.0,0.9725,580,570,2042.0,9000.0,12100.0,0.4248,0.2626,1,1200.0,7400.0,4500.0,7400.0,4500.0,40500.0,17.0,39048.0,47045.0,0.14,7283.0,51046.0,49477.45,0.3566,6211.0,6535.0,0.6328,149684.0,0.270570001,1.082280003
Lewis-Clark State College,Lewiston,ID,1839106,31007,72785,0.323,0.602,33432,0.323,3,13.0,1.0,635,624,2441.0,6982.0,20238.0,0.3718,0.2107,1,1400.0,7860.0,2800.0,7860.0,2800.0,38200.0,15.0,40814.0,49982.0,0.13,6789.0,31207.0,49266.88,0.3166,8367.0,5012.0,0.6187,143070.0,0.267002167,1.068008667
Western New Mexico University,Silver City,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33.0,1.0,635,624,1528.0,6558.0,13541.0,0.2928,0.1895,1,1600.0,10590.0,4288.0,10590.0,4288.0,35800.0,12.0,31724.0,42877.0,0.07,6853.0,21494.0,39573.76,0.3319,7545.0,5794.0,0.6658,134608.0,0.265957447,1.063829787
The University of Montana-Western,Dillon,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33.0,0.3333,635,624,1283.0,5726.0,17190.0,0.4178,0.24,1,924.0,8280.0,3600.0,11206.0,3600.0,36700.0,14.0,33563.0,49486.0,0.11,7052.0,42280.0,47125.83,0.4873,7639.0,5083.0,0.7295,138026.0,0.265891933,1.063567734
Eastern New Mexico University-Main Campus,Portales,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33.0,0.325,570,530,2861.0,6648.0,8688.0,0.3993,0.2142,1,950.0,7814.0,4498.0,7498.0,4498.0,34800.0,16.0,31346.0,44369.0,0.1,7244.0,28573.0,42974.58,0.2271,6333.0,5217.0,0.6035,131482.0,0.264675013,1.05870005
University of Alaska Fairbanks,Fairbanks,AK,733391,37365,88121,0.306,0.599,40985,0.306,3,23.0,0.6469,680,680,4108.0,7248.0,21384.0,0.3845,0.2634,1,2000.0,10540.0,2650.0,12050.0,4250.0,45100.0,12.0,41851.0,55256.0,0.15,9570.0,35967.0,65084.81,0.1844,19104.0,9274.0,0.729,171898.0,0.262364891,1.049459563
Mayville State University,Mayville,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,43.0,0.6099,635,624,866.0,7622.0,10756.0,0.3185,0.1811,1,1000.0,8955.0,3100.0,8955.0,3100.0,43300.0,14.0,41972.0,53001.0,0.13,6135.0,47272.0,51474.96,0.4524,8504.0,6660.0,0.6245,167553.0,0.258425692,1.033702769
University of Hawaii at Hilo,Hilo,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,33.0,0.9217,630,580,2630.0,7838.0,20798.0,0.427,0.273,1,1350.0,8248.0,3966.0,12786.0,11338.0,41800.0,13.0,43384.0,50712.0,0.14,10873.0,27504.0,59308.27,0.3253,16118.0,7133.0,0.7125,162646.0,0.256999865,1.027999459
Colorado Mesa University,Grand Junction,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,13.0,0.8024,610,590,7904.0,9000.0,22322.0,0.3809,0.2758,1,1560.0,11265.0,3110.0,8478.0,3110.0,42300.0,18.0,38798.0,51236.0,0.13,7164.0,44794.0,56304.4,0.3896,9082.0,8250.0,0.7357,165507.0,0.255578314,1.022313256
Valley City State University,Valley City,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,33.0,0.8145,585,605,942.0,8195.0,12969.0,0.5318,0.3468,1,1100.0,6919.0,3802.0,6919.0,3802.0,41700.0,13.0,43091.0,53897.0,0.21,6273.0,59878.0,48927.68,0.3595,11036.0,6158.0,0.6667,166892.0,0.249862186,0.999448745
University of Hawaii-West Oahu,Kapolei,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,21.0,0.9462,650,570,2651.0,7584.0,20544.0,0.3682,0.1339,1,1350.0,10950.8169,3863.484507,16104.0,4936.0,41100.0,18.0,51531.0,56891.0,0.15,10225.0,28758.0,74812.42,0.2383,11799.0,5404.0,0.6812,164992.3014,0.249102532,0.996410127
Colorado State University Pueblo,Pueblo,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12.0,0.9917,570,560,3092.0,9005.0,15659.0,0.3856,0.2078,1,1854.0,11170.0,5516.0,11783.0,5516.0,41600.0,15.0,44520.0,53002.0,0.1,6918.0,38397.0,54713.6,0.5808,5348.0,4860.0,0.6556,168117.0,0.247446719,0.989786875
Northern State University,Aberdeen,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,33.0,0.7982,600,590,1344.0,8845.0,11947.0,0.4757,0.3697,1,1200.0,9150.0,4300.0,9150.0,4300.0,37300.0,16.0,40635.0,49597.0,0.13,7502.0,52170.0,48289.97,0.2739,9854.0,5375.0,0.7224,151079.0,0.2468907,0.987562798
Fort Lewis College,Durango,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,32.0,0.9275,620,580,3260.0,9004.0,19660.0,0.4406,0.2958,1,1240.0,12012.0,3714.0,10528.0,3714.0,39400.0,14.0,39216.0,43974.0,0.15,7218.0,41306.5,61685.3,0.3117,9153.0,3815.0,0.6096,166542.0,0.23657696,0.946307838
University of Alaska Southeast,Juneau,AK,733391,37365,88121,0.306,0.599,40985,0.306,1,33.0,0.5625,635,624,999.0,6960.0,21096.0,0.3034,0.1286,1,1400.0,9800.0,2448.0,10872.0,3716.0,39500.0,9.0,41544.0,41567.0,0.11,8436.0,34718.0,73622.06,0.144,15362.0,8622.0,0.6406,170068.0,0.232260037,0.929040149
Adams State University,Alamosa,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,33.0,0.9983,570,570,1484.0,9680.0,17933.0,0.287,0.2198,1,1800.0,9167.0,3150.0,11844.0,3150.0,38100.0,11.0,34744.0,43238.0,0.1,6465.0,31933.0,50726.71,0.4932,8530.0,6779.0,0.5926,164369.0,0.231795533,0.927182133
Northern New Mexico College,Espanola,NM,2117522,27893,59726,0.305,0.548,31063,0.305,2,32.0,1.0,635,624,876.0,4952.0,13676.0,0.3644,0.102,1,1200.0,10950.8169,3863.484507,8506.0,4688.0,30000.0,11.0,39463.0,39052.0,0.1,6355.0,16868.0,43101.41,0.047,10709.0,5289.0,0.4634,132538.3014,0.226349664,0.905398656
The Evergreen State College,Olympia,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,22.0,0.9946,630,570,1819.0,8529.0,29172.0,0.4323,0.3229,1,900.0,13149.0,3525.0,13149.0,3525.0,36900.0,14.0,40885.0,45150.0,0.13,8267.0,22200.0,63843.36,0.4322,10947.0,6958.0,0.6337,172911.0,0.213404584,0.853618335
University of Hawaii Maui College,Kahului,HI,1455271,35311,92458,0.354,0.574,41850,0.354,2,13.0,1.0,635,624,1915.0,3278.0,8414.0,0.3055,0.1111,1,1350.0,10950.8169,3863.484507,15896.0,4988.0,34200.0,15.0,34887.0,38852.0,0.09,9045.0,21722.0,67245.41,0.0518,18388.0,3247.0,0.75,160686.3014,0.21283706,0.851348241
